# A Thorlabs mirror PF20-03-G01			
# Regular reflectance						
# 20 degree incidence			
# wl (nm)	p-pol	s-pol	ave
300	90.65	91.74	91.20
310	90.78	92.03	91.41
320	90.82	92.11	91.47
330	91.24	92.14	91.69
340	91.10	92.20	91.65
350	91.34	92.21	91.77
360	91.13	92.30	91.72
370	91.42	92.20	91.81
380	91.28	92.38	91.83
390	91.49	92.35	91.92
400	91.42	92.37	91.90
410	91.39	92.35	91.87
420	91.38	92.29	91.83
430	91.34	92.28	91.81
440	91.27	92.28	91.77
450	91.27	92.26	91.77
460	91.17	92.17	91.67
470	91.11	92.11	91.61
480	91.05	92.08	91.57
490	91.01	92.03	91.52
500	90.96	91.96	91.46
510	90.93	91.95	91.44
520	90.89	91.86	91.37
530	90.78	91.81	91.29
540	90.72	91.75	91.23
550	90.64	91.67	91.15
560	90.61	91.63	91.12
570	90.44	91.53	90.99
580	90.40	91.43	90.91
590	90.30	91.35	90.82
600	90.13	91.24	90.69
610	89.99	91.12	90.55
620	89.93	91.01	90.47
630	89.75	90.87	90.31
640	89.63	90.76	90.20
650	89.48	90.63	90.06
660	89.29	90.48	89.88
670	89.10	90.30	89.70
680	88.94	90.14	89.54
690	88.75	89.95	89.35
700	88.56	89.74	89.15
710	88.28	89.56	88.92
720	88.05	89.32	88.69
730	87.78	89.10	88.44
740	87.42	88.84	88.13
750	87.14	88.51	87.83
760	86.76	88.20	87.48
770	86.35	87.83	87.09
780	85.92	87.43	86.67
790	85.53	87.07	86.30
800	85.11	86.68	85.89
810	84.80	86.42	85.61
820	84.60	86.21	85.41
830	84.50	86.19	85.34
840	84.68	86.32	85.50
850	85.00	86.59	85.80
860	85.55	87.11	86.33
870	86.21	87.74	86.98
880	86.93	88.41	87.67
890	87.75	89.09	88.42
900	88.50	89.77	89.14
910	89.24	90.46	89.85
920	89.88	91.05	90.46
930	90.54	91.60	91.07
940	91.13	92.11	91.62
950	91.59	92.58	92.09
960	92.03	92.96	92.50
970	92.47	93.31	92.89
980	92.83	93.67	93.25
990	93.17	93.93	93.55
1000	93.44	94.24	93.84
1010	93.71	94.50	94.11
1020	93.95	94.67	94.31
1030	94.20	94.85	94.52
1040	94.41	95.13	94.77
1050	94.54	95.21	94.87
1060	94.73	95.38	95.06
1070	94.86	95.48	95.17
1080	94.98	95.60	95.29
1090	95.14	95.70	95.42
1100	95.22	95.79	95.50
1110	95.31	95.89	95.60
1120	95.45	95.98	95.71
1130	95.54	96.08	95.81
1140	95.63	96.11	95.87
1150	95.69	96.19	95.94
