# A Thorlabs mirror PF20-03-G01
# Regular reflectance
# 8 degree incidence			
# wl (nm)	p-pol	s-pol	ave
300	91.42	91.35	91.39
310	91.52	91.64	91.58
320	91.69	91.55	91.62
330	91.81	92.17	91.99
340	91.72	92.13	91.92
350	91.66	92.02	91.84
360	91.80	91.97	91.89
370	91.73	91.85	91.79
380	91.79	92.03	91.91
390	91.91	91.97	91.94
400	91.89	92.00	91.94
410	91.83	91.96	91.90
420	91.69	91.90	91.80
430	91.76	91.97	91.86
440	91.88	91.92	91.90
450	91.61	91.74	91.68
500	91.40	91.61	91.51
550	91.11	91.24	91.18
600	90.67	90.84	90.76
650	90.03	90.20	90.11
700	89.04	89.25	89.15
750	87.72	87.94	87.83
800	85.79	86.04	85.92
850	85.70	85.98	85.84
900	89.11	89.31	89.21
950	92.07	92.24	92.16
1000	93.86	94.03	93.94
1050	94.88	95.03	94.96
1100	95.49	95.63	95.56
1150	95.82	96.06	95.94
